"Panel Type","Plus Panel","Serial #","Shooting FW","WL Control FW","Logging FW","GUI SW","Surface Check FW","Received Date","XC Base","Panel Status","Unit#","Sales Order#","Date Updated","Tracking Info","Comments","Verified","RMA","Spare","Customer District","Operating Company","Customer","Updated By","Activity","Field View History of Panel ","Viewed Digital Shooting Panel","Viewed Surface Tester","Related Panel Records","Changes Summary",
"P2000","","231237-1v3","","187","7.2","","","1/31/2024","Williston","At Facility","","","4/28/2026","","TESTBENCH","Y","","","","","","Martin Aguilar","","","","","vM1QcmH9IS47MxdvV8mOq9 , VlzWnVk3RC4Ia_APgslvh5 , 1ObGY4aVNV4OESd8qaPuHe , Qd82mSLt734s6Quxjl-qTd , x7wgSFbG814WIV5VXiJm42 , HIbrxummLB4M6PBq-Qay-a , JxJSP2lieK4PYNyRLQ3GDd , 47sLhEknxn4Im9r5uXJEj1 , WRqJaeec7j47yGP9Dzo8Hd , P1DeEZYx-I4F6_09XxplX3 , 5Tref30UcA4-MNdOxySbQd , 8RCDJRnn0z47a-R107Qbaa","",
"P2000","","230524-1v2","","187","7.2","25.12","","7/13/2022","Williston","Leased","044","","4/19/2026","","","Y","","N","GOW-Williston","Chord Energy Corp","Go Wireline LLC","Martin Aguilar","N","1330 , 1331","","","4_aqfLKtYC40YKsn1O3nL3 , wLZOs8RElw462cSGijO_M2 , BFMnJhzMAs4DAJ8ARXP5_d , lAuGQ7uprk4yATVjPmT9D4 , m_DCk3iefq4k6IorQuf5D1 , J4DAGCSnc84sukKZ_Belyb , b2fB-2MIp34G6mS8Ydrz-0 , Dd4agS2FWn4BMS8tgA0B80 , mKcnjRkti94a2-nECCNzD7 , nrdTsi98p64ZMpj73PUkA4 , Fyjz74STg44Livjvezi2d2 , hndoT0a-4U4Ty3i78QX564 , o-H3b4qjP94qYmSn7GbjY1","",
"P2000","","240248-1v3","","187","7","22.3.1","","4/23/2024","Denver","Leased","Skid 5001","","4/1/2026","","","Y","","N","LES-Platteville","Dunamis Energy","Liberty Energy Inc.","Robert Grissom","N","","","","62plv2g3U74QMdAcIvD9V1 , Hg4CM3HcGO4hEXY4AFAg42 , lkkWqzURQr4z6Vadr1Joif","",
"P2000","","230520-1v2","","187","7.2","25.12","","1/26/2024","Williston","Leased","816","","3/27/2026","","Daywork Toe Shoot","Y","","N","GOW-Williston","Devon Energy","Go Wireline LLC","Martin Aguilar","N","","","","uViPJu8gxg4py4WYwY4i6c , Nq9TiS1Nzr4OAS8IQtYaUd , pEXrP8JMKM4oeFk7g_t6L2 , _Vuk2oFUcU4M2a7_Si73y2 , RKRehba4vY4bu0-kfUHxM0 , XOg_FGB13C49alrKtH9cde , lpIhPKM97g4sqoZT8hN4f7 , 6qQd9nTknI4zeDa5lkdlK6 , a4ANE-SeVB43qsHmdcW8S4 , Xm3avaWBSU4zaig4X2hgga","",
"P2000","","240256-1v3","","187","7.2","25.12","","7/8/2024","Williston","Leased","856","","3/20/2026","","","Y","","N","GOW-Williston","Shop","Go Wireline LLC","Martin Aguilar","N","1440","","","bSu0tBAqUP4F6gwDVQAj91 , fAffzvVX604TuKIKC5gZvc , nV1eXiYyS642uZgMdozyD5 , wbJOWaXq6e4yAdBfA6ZUG7 , K8e9C5l05H4LeExOvIHdG1 , NkdPMz_pB-4S2s7EInjbY7 , _1KS8U4q_a4mY_x6tOqOk2 , RCEcakhIgY4p6bqdAJBh82 , L_Hld8Vjda41aL--RSib0e , fvMbA7rM344nYA_JvKCYif","",
"P2000","","230522-1v2","","187","7.2","25.12","","7/13/2022","Williston","Leased","661","","3/20/2026","","","Y","","N","GOW-Williston","Chord Energy Corp","Go Wireline LLC","Martin Aguilar","","","","","eTLhduVOi54T6akBiRQMQ7 , mDKvND8SgE4aIsCtx2Yq15 , kaHAQ5X0v84rykltVnTBu9 , 7dw5V5j9wE4UYMZR4AbSU5 , -qEfDJ5U1-4SqLRxaSqCL4 , 3G1Mur9o_F4eiP4E-5WAD1 , cfcLFyKnNj4_YbZBpf5jof , ty9CBw8GAh4eaC5LqPF9cf , Q9kRuAi1l74NiJVPQheE8d , spMYI0aFRO4tIlXS1JQWDc , -MIzcjv53G4hQ_K9gvts0f","",
"P2000","","230626-1v2","","245","7.2","25.08","","7/13/2023","Denver","Leased","Shop","","3/20/2026","","","Y","","Y","SRF-Williston","Shop","Surefire Wireline West, LLC","Robert Grissom","","732","","","OGfzfiym3f4SeNQbjkpJi3 , cQaDOZraYV4Wec1OJJ7bac , Myv5_uBA1J4pyBvxS2W_Z2 , 2qTtvN-p5S4HEqMwZdGFY0 , cMLIi3cJsH4V6g9yEZYvf8 , dPYk6ol64x48MQ3cKLaSH0 , o3ZK4FW1pr4geYDSFTIzP3","",
"P2000","","240250-1v3","","184","7.2","25.06","","6/25/2024","Denver","Leased","Day work","","2/26/2026","","","Y","","N","GOW-Greeley","Not Specified","Go Wireline LLC","Robert Grissom","","","","","SshfGtgwc64GqkUbGz1Ysf , xUrjDG3RVn4B6Cao3enIe4 , PY4BpLtOGp4HYklxviBpZ6 , 3Xg4K5RHsT44UFghMMfEvb , sXpmMe0r9B4sel4QBp0ML5","",
"P2000","","230523-1v2","","245","7.2","25.08","","5/17/2023","Midland","Leased","139","","12/29/2025","","","Y","","N","NES-Longview","Expand Energy","Nine Energy Service, Inc.","Eric Williams","N","1337 , 1345 , 1349","","","rKDHegLTI94sMWkXWZZ7t0 , 68EJ_c7odi4IEsDkHvXa29 , ksR5ZCDus_4yqxZYXJgFs7 , Wb9prolOuj4MApVAfdlIac , dWHiupzy764t2ZeqYj1NV9 , Lm0xWtXzHi4rQ6LGAzAPvf , z3tu4vtw_l4JaoN0RibTU5 , zMdTNa4jen43qdB7gUqtd4 , XW_NOKD5mb4XeiKAHwx5ib","",
"P2000","","230629 -1v2","","245","7.2","25.08","","11/9/2024","Denver","Leased","5118","","12/17/2025","","","Y","","N","TWG-Vernal","Koda Resources Operating","The Wireline Group","Robert Grissom","","668 , 669 , 683 , 686 , 867 , 918","","","zKQIFB-kt94eUrr4WruqI7 , Cd0FOc0Y9H4uaf4Js4q7jb , PZfW1Hg6Sm4ciqVXh0lf50 , Vu5u3g3u8P4r68335SqZ_8 , -_o51KlgIy4maqanwjch01 , rr2uWAH4bL4jM3X3KY13v1","",
